Tile_ID,centroid_lat,centroid_lon,TrainClass,RegionName,UIDs,Version
bkhfub8hbj8n,67.986991,-161.861572,positive,Arctic foothills tundra,9999,batch1
b5crwdzzzyx9,67.428581,-177.945557,positive,Chukchi Peninsula tundra,9999,batch1
bkj6w30hb48j,67.945776,-161.092529,positive,Arctic foothills tundra,9999,batch1
b5crc4xvruxb,67.470713,-178.187256,positive,Chukchi Peninsula tundra,9999,batch1
uunyw3b40h00,68.652556,43.516846,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
uunyw9zfpup8,68.652556,43.538818,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
uunyx1zfpupb,68.652556,43.560791,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
uupn74xbzyrb,68.612528,43.736572,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
uupn6f80bn22,68.612528,43.7146,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
uupnn5pzrgpf,68.572428,43.868408,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
uupnn1zbxfrg,68.564399,43.868408,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
uupnncb08425,68.564399,43.890381,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
b7zfm1zzrcpx,66.500122,-157.62085,positive,Beringia lowland tundra,9999,batch1
b7zfm9zzrcpz,66.500122,-157.598877,positive,Beringia lowland tundra,9999,batch1
vh63gk0hbj25,69.236684,48.306885,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
bkpfp4pgrgru,67.863125,-157.532959,positive,Arctic foothills tundra,9999,batch1
vh63g68p8100,69.228893,48.306885,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vh0jvbbp8522,68.516167,45.252686,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vh66m0zuxvp8,69.306677,48.394775,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vh66mtpurbxy,69.329957,48.416748,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vh66m4rczups,69.31444,48.394775,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vh66mexzpfxy,69.3222,48.416748,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vh66qm0h208n,69.329957,48.438721,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vh66mdrczupu,69.31444,48.416748,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vh66qq812n25,69.337712,48.438721,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vh66qxzyxgrt,69.345464,48.460693,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vh66qwxcryre,69.337712,48.460693,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vh66w9rgxzzw,69.353213,48.460693,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vh66x1rgxzzy,69.353213,48.482666,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
b5cw84xurgxg,67.25081,-177.879639,positive,Chukchi Peninsula tundra,9999,batch1
vhvzf8rvzupg,73.083437,53.206787,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjjbqm24048j,73.198142,53.360596,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn0ecbjbp0h,73.223529,53.602295,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn092b1008q,73.217186,53.492432,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn0wjruxzzz,73.242545,53.712158,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn0xr8n8106,73.255211,53.756104,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn0z2b52hbk,73.26154,53.756104,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
bs0d1m05b123,67.879679,-156.741943,positive,Brooks-British Range tundra,9999,batch1
vjn5qnpfrzpy,73.729673,53.712158,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
bs0d1tpgzcrc,67.879679,-156.719971,positive,Brooks-British Range tundra,9999,batch1
vjn74ezzpypb,73.674177,53.909912,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn756b50n25,73.667999,53.931885,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn759xzpyrd,73.661819,53.953857,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn77ezfxzpt,73.717356,53.953857,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn778rzpbp8,73.698864,53.953857,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn777b48p0j,73.717356,53.931885,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn75xrgpfpw,73.692696,53.953857,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn78dxczfpe,73.754279,53.822021,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn794xczfpg,73.754279,53.843994,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7878j85b1,73.760425,53.800049,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn79f81b405,73.754279,53.865967,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn73z0n2484,73.735828,53.865967,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7d1rypbp9,73.748131,53.887939,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7d8rfpvxg,73.741981,53.909912,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7e78j85b1,73.760425,53.931885,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7eexvxgz9,73.760425,53.953857,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7edxczfpe,73.754279,53.953857,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7e9rypbp9,73.748131,53.953857,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7k5zfxzpv,73.717356,53.97583,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7kubn852p,73.723516,53.997803,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7m0rzpbp8,73.698864,54.019775,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7mszyxgrz,73.723516,54.041748,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7s5xvxgzc,73.760425,53.97583,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7shzcrvpu,73.766569,53.97583,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7s4xczfpg,73.754279,53.97583,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7s1rypbpc,73.748131,53.97583,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7svbj0jbh,73.77271,53.997803,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7sg8j85b1,73.760425,53.997803,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7sub12j0h,73.766569,53.997803,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7sf81b405,73.754279,53.997803,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7sc2n0001,73.748131,53.997803,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7thzcrvps,73.766569,54.019775,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7t5xvxgz9,73.760425,54.019775,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7texvxgzc,73.760425,54.041748,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7mwpfrzpy,73.729673,54.041748,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7qq042p0n,73.729673,54.063721,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7y20h8n21,73.784986,54.063721,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7y62h0j01,73.797253,54.063721,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7ysxgxfpe,73.809511,54.085693,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7znzfzvrz,73.82176,54.107666,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7zjxzpzzu,73.815636,54.107666,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7yrbn8480,73.827881,54.063721,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjn7yxzyxfx8,73.827881,54.085693,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjnkp4pvzgrc,73.840116,54.107666,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
vjnkp1pfpyzz,73.833999,54.107666,positive,Northwest Russian-Novaya Zemlya tundra,9999,batch1
